date,season,team,opp,event,crown_holder,crown_team,prev_holder,prev_team,gmsc,streak,total_games
2008-05-15,2008,SAS,NOH,transfer_loss,Tim Duncan,SAS,David West,NOH,20.90,1,1
2008-05-19,2008,SAS,NOH,transfer_teammate,Manu Ginóbili,SAS,Tim Duncan,SAS,15.90,1,1
2008-05-21,2008,LAL,SAS,transfer_loss,Kobe Bryant,LAL,Manu Ginóbili,SAS,24.10,1,1
2008-05-23,2008,LAL,SAS,transfer_teammate,Lamar Odom,LAL,Kobe Bryant,LAL,19.40,1,1
2008-05-25,2008,SAS,LAL,transfer_loss,Manu Ginóbili,SAS,Lamar Odom,LAL,22.60,1,1
2008-05-27,2008,LAL,SAS,transfer_loss,Kobe Bryant,LAL,Manu Ginóbili,SAS,16.40,1,1
2008-05-29,2008,LAL,SAS,defend,Kobe Bryant,LAL,Kobe Bryant,LAL,26.60,2,2
2008-06-05,2008,BOS,LAL,transfer_loss,Kevin Garnett,BOS,Kobe Bryant,LAL,18.60,1,1
2008-06-08,2008,BOS,LAL,transfer_teammate,Paul Pierce,BOS,Kevin Garnett,BOS,21.90,1,1
2008-06-10,2008,LAL,BOS,transfer_loss,Kobe Bryant,LAL,Paul Pierce,BOS,25.40,1,1
2008-06-12,2008,BOS,LAL,transfer_loss,Ray Allen,BOS,Kobe Bryant,LAL,20.50,1,1
2008-06-15,2008,LAL,BOS,transfer_loss,Pau Gasol,LAL,Ray Allen,BOS,23.70,1,1
2008-06-17,2008,BOS,LAL,transfer_loss,Kevin Garnett,BOS,Pau Gasol,LAL,28.10,1,1
2009-04-18,2009,CLE,DET,new_season,LeBron James,CLE,Kevin Garnett,BOS,35.90,1,1
2009-04-21,2009,CLE,DET,defend,LeBron James,CLE,LeBron James,CLE,26.50,2,2
2009-04-24,2009,CLE,DET,defend,LeBron James,CLE,LeBron James,CLE,26.50,3,3
2009-04-26,2009,CLE,DET,defend,LeBron James,CLE,LeBron James,CLE,32.20,4,4
2009-05-05,2009,CLE,ATL,defend,LeBron James,CLE,LeBron James,CLE,31.70,5,5
2009-05-07,2009,CLE,ATL,defend,LeBron James,CLE,LeBron James,CLE,27.10,6,6
2009-05-09,2009,CLE,ATL,defend,LeBron James,CLE,LeBron James,CLE,43.80,7,7
2009-05-11,2009,CLE,ATL,defend,LeBron James,CLE,LeBron James,CLE,18.80,8,8
2009-05-20,2009,ORL,CLE,transfer_loss,Dwight Howard,ORL,LeBron James,CLE,24.80,1,1
2009-05-22,2009,CLE,ORL,transfer_loss,LeBron James,CLE,Dwight Howard,ORL,22.20,1,1
2009-05-24,2009,ORL,CLE,transfer_loss,Dwight Howard,ORL,LeBron James,CLE,20.70,1,1
2009-05-26,2009,ORL,CLE,defend,Dwight Howard,ORL,Dwight Howard,ORL,25.90,2,2
2009-05-28,2009,CLE,ORL,transfer_loss,LeBron James,CLE,Dwight Howard,ORL,33.30,1,1
2009-05-30,2009,ORL,CLE,transfer_loss,Dwight Howard,ORL,LeBron James,CLE,35.40,1,1
2009-06-04,2009,LAL,ORL,transfer_loss,Kobe Bryant,LAL,Dwight Howard,ORL,33.00,1,1
2009-06-07,2009,LAL,ORL,transfer_teammate,Pau Gasol,LAL,Kobe Bryant,LAL,23.20,1,1
2009-06-09,2009,ORL,LAL,transfer_loss,Dwight Howard,ORL,Pau Gasol,LAL,23.00,1,1
2009-06-11,2009,LAL,ORL,transfer_loss,Kobe Bryant,LAL,Dwight Howard,ORL,20.30,1,1
2009-06-14,2009,LAL,ORL,defend,Kobe Bryant,LAL,Kobe Bryant,LAL,26.20,2,2
2010-04-18,2010,LAL,OKC,transfer_teammate,Pau Gasol,LAL,Kobe Bryant,LAL,18.90,1,1
2010-04-20,2010,LAL,OKC,transfer_teammate,Kobe Bryant,LAL,Pau Gasol,LAL,22.40,1,1
2010-04-22,2010,OKC,LAL,transfer_loss,Kevin Durant,OKC,Kobe Bryant,LAL,21.80,1,1
2010-04-24,2010,OKC,LAL,transfer_teammate,Russell Westbrook,OKC,Kevin Durant,OKC,20.10,1,1
2010-04-27,2010,LAL,OKC,transfer_loss,Pau Gasol,LAL,Russell Westbrook,OKC,26.10,1,1
2010-04-30,2010,LAL,OKC,transfer_teammate,Kobe Bryant,LAL,Pau Gasol,LAL,16.50,1,1
2010-05-02,2010,LAL,UTA,transfer_teammate,Pau Gasol,LAL,Kobe Bryant,LAL,26.80,1,1
2010-05-04,2010,LAL,UTA,transfer_teammate,Andrew Bynum,LAL,Pau Gasol,LAL,20.90,1,1
2010-05-08,2010,LAL,UTA,transfer_teammate,Kobe Bryant,LAL,Andrew Bynum,LAL,26.50,1,1
2010-05-10,2010,LAL,UTA,transfer_teammate,Pau Gasol,LAL,Kobe Bryant,LAL,33.20,1,1
2010-05-17,2010,LAL,PHO,transfer_teammate,Kobe Bryant,LAL,Pau Gasol,LAL,32.30,1,1
2010-05-19,2010,LAL,PHO,transfer_teammate,Pau Gasol,LAL,Kobe Bryant,LAL,24.90,1,1
2010-05-23,2010,PHO,LAL,transfer_loss,Amar'e Stoudemire,PHO,Pau Gasol,LAL,33.60,1,1
2010-05-25,2010,PHO,LAL,defend,Amar'e Stoudemire,PHO,Amar'e Stoudemire,PHO,14.60,2,2
2010-05-27,2010,LAL,PHO,transfer_loss,Kobe Bryant,LAL,Amar'e Stoudemire,PHO,25.90,1,1
2010-05-29,2010,LAL,PHO,defend,Kobe Bryant,LAL,Kobe Bryant,LAL,27.50,2,2
2010-06-03,2010,LAL,BOS,transfer_teammate,Pau Gasol,LAL,Kobe Bryant,LAL,23.20,1,1
2010-06-06,2010,BOS,LAL,transfer_loss,Ray Allen,BOS,Pau Gasol,LAL,21.90,1,1
2010-06-08,2010,LAL,BOS,transfer_loss,Kobe Bryant,LAL,Ray Allen,BOS,20.70,1,1
2010-06-10,2010,BOS,LAL,transfer_loss,Glen Davis,BOS,Kobe Bryant,LAL,18.90,1,1
2010-06-13,2010,BOS,LAL,transfer_teammate,Kevin Garnett,BOS,Glen Davis,BOS,19.60,1,1
2010-06-15,2010,LAL,BOS,transfer_loss,Kobe Bryant,LAL,Kevin Garnett,BOS,24.10,1,1
2010-06-17,2010,LAL,BOS,transfer_teammate,Pau Gasol,LAL,Kobe Bryant,LAL,19.20,1,1
